StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q3.2_1,Q3.5_1,Q4.2_1,Q4.5_1,Q5.2_1,Q5.5_1,Q6.2_1,Q6.5_1,Q7.2_1,Q7.5_1,Q8.2_1,Q8.5_1,Q9.2_1,Q9.5_1,Q10.2_1,Q10.5_1,Q11.2_1,Q11.5_1,Q12.2_1,Q12.5_1,Q13.2_1,Q13.5_1,Q14.2_1,Q14.5_1,Q15.2_1,Q15.5_1,Q16.2_1,Q16.5_1,Q17.2_1,Q17.5_1,Q18.2_1,Q18.5_1,Q19.1,Q19.2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent
You are being invited to participate in a research study for PSYC 111B. This study is being done by Catherine Cha, Ray Yin, Anusha Srivastava, and Vivian Lee from UC San Diego. By continuing with the study, you acknowledge that you have chosen to take part in this study voluntarily. The purpose of this research study is to examine effective education on mental health policy reform topics. Your participation in this research should take anywhere between 5 to 10 minutes, depending on how long you take to read and answer the questions. If you agree to take part in this study, you will be introduced to different proposed mental health policies, as well as their risks and benefits. Your participation will be complete when you have responded to the questions and ratings. Your participation in this study is completely voluntary and you can withdraw at any time. Choosing not to participate or withdrawing will result in no penalty. 

Research sometimes requires that information regarding its purpose not be shared with the research participants because its knowledge could impact the results of the research. None of the aspects of the research being withheld are reasonably expected to affect your willingness to take part. While the tasks you will be asked to perform for this research have been explained, the full intent of the research will not be provided until the completion of the study. At that time you will have the opportunity to ask questions, including about the purpose of the study and the procedures used, and withdraw your data if you so choose. If you have questions about this project or if you have a research-related problem, you may contact the researcher Vivian Lee (vdlee@ucsd.edu).",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",How would you rate your support for this policy?,"Having learned this, how would you rate your support for this policy?",What gender do you identify as?,What is your age?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID78_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID68_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100""}"
2024-05-16 22:53:11,2024-05-16 22:53:39,Survey Preview,,100,28,True,2024-05-16 22:53:40,R_35RrcYWiEjRNICR,,,,,32.8425,-117.2484,preview,EN,I understand and consent,,,,,,,,,3,9,3,8,8,3,8,4,,,,,,,,,,,,,,,,,,
2024-05-16 22:53:46,2024-05-16 22:54:11,Survey Preview,,100,25,True,2024-05-16 22:54:12,R_322YtKPmQf9Q2ae,,,,,32.8425,-117.2484,preview,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,6,1,10,4,2,9,8,5,,
2024-05-20 20:42:13,2024-05-20 20:43:31,Survey Preview,,100,77,True,2024-05-20 20:43:32,R_1JqFbm0WnLKTw5T,,,,,32.8595,-117.2124,preview,EN,I understand and consent,4,7,9,4,9,4,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-20 20:43:35,2024-05-20 20:44:39,Survey Preview,,100,63,True,2024-05-20 20:44:40,R_1sAIZmmIgXkCbIe,,,,,32.8595,-117.2124,preview,EN,I understand and consent,,,,,,,,,,,,,,,,,8,8,7,4,3,8,4,8,,,,,,,,,,
2024-05-20 20:45:05,2024-05-20 20:46:37,Survey Preview,,100,92,True,2024-05-20 20:46:37,R_11dEbcGdiFpvMSB,,,,,32.8595,-117.2124,preview,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,7,1,1,6,6,,
2024-05-20 20:46:42,2024-05-20 20:47:44,Survey Preview,,100,61,True,2024-05-20 20:47:44,R_1fxgtfieFWNtcbs,,,,,32.8595,-117.2124,preview,EN,I understand and consent,,,,,,,,,6,3,2,1,1,1,3,2,,,,,,,,,,,,,,,,,,
2024-05-20 22:54:19,2024-05-20 22:55:30,Survey Preview,,100,70,True,2024-05-20 22:55:31,R_3ByXyfsb5cZqodv,,,,,32.8425,-117.2484,preview,EN,I understand and consent,,,,,,,,,,,,,,,,,,,,,,,,,2,7.5,0,8,0.6,6.6,7.9,1.8,,
2024-05-20 23:08:03,2024-05-20 23:11:23,Survey Preview,,100,200,True,2024-05-20 23:11:24,R_3AWI3s8k3Xm42R3,,,,,32.8425,-117.2484,preview,EN,I understand and consent,,,,,,,,,,,,,,,,,1.9,2.3,2.2,2.2,7.7,5.1,8.2,6.6,,,,,,,,,Female,18-24 years old
